2026-04-18T06:06:17.002096Z [info     ] phase7_supplier_index_built    n_companies=61 n_keys=357
2026-04-18T06:06:17.002596Z [info     ] phase7_row_scored              candidate=calcium-carbonate company_id=1 final_score=0.7582 grade=safe_to_consolidate product_id=13 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.002664Z [info     ] phase7_row_scored              candidate=dicalcium-phosphate company_id=1 final_score=0.799 grade=safe_to_consolidate product_id=13 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.002709Z [info     ] phase7_row_scored              candidate=magnesium-citrate company_id=1 final_score=0.5454 grade=likely_safe_review_required product_id=13 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.002746Z [info     ] phase7_row_scored              candidate=calcium-carbonate company_id=25 final_score=0.7582 grade=safe_to_consolidate product_id=120 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.002780Z [info     ] phase7_row_scored              candidate=dicalcium-phosphate company_id=25 final_score=0.799 grade=safe_to_consolidate product_id=120 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.002812Z [info     ] phase7_row_scored              candidate=magnesium-citrate company_id=25 final_score=0.5454 grade=likely_safe_review_required product_id=120 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.002852Z [info     ] phase7_row_scored              candidate=calcium-carbonate company_id=32 final_score=0.7582 grade=safe_to_consolidate product_id=111 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.002899Z [info     ] phase7_row_scored              candidate=dicalcium-phosphate company_id=32 final_score=0.799 grade=safe_to_consolidate product_id=111 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.002933Z [info     ] phase7_row_scored              candidate=magnesium-citrate company_id=32 final_score=0.5454 grade=likely_safe_review_required product_id=111 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.002967Z [info     ] phase7_row_scored              candidate=vitamin-a-retinyl-palmitate company_id=40 final_score=0.7349 grade=likely_safe_review_required product_id=58 source=retinyl-palmitate-vitamin-a sourcing_benefit=0.4833
2026-04-18T06:06:17.002998Z [info     ] phase7_row_scored              candidate=calcium-carbonate company_id=51 final_score=0.7582 grade=safe_to_consolidate product_id=56 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.003051Z [info     ] phase7_row_scored              candidate=dicalcium-phosphate company_id=51 final_score=0.799 grade=safe_to_consolidate product_id=56 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.003080Z [info     ] phase7_row_scored              candidate=magnesium-citrate company_id=51 final_score=0.5454 grade=likely_safe_review_required product_id=56 source=calcium-citrate sourcing_benefit=0.4833
2026-04-18T06:06:17.003176Z [info     ] phase7_opportunity_built       aggregate_final_score=0.799 best_candidate=dicalcium-phosphate grade=safe_to_consolidate n_companies=4 n_products=4 source=calcium-citrate
2026-04-18T06:06:17.003209Z [info     ] phase7_opportunity_built       aggregate_final_score=0.7349 best_candidate=vitamin-a-retinyl-palmitate grade=likely_safe_review_required n_companies=1 n_products=1 source=retinyl-palmitate-vitamin-a
{"ok": true, "n_tuples": 13, "n_opportunities": 2, "n_cache_hits": 0, "n_api_calls": 0, "n_failures": 0, "counts_by_grade": {"safe_to_consolidate": 8, "likely_safe_review_required": 5}, "partial": false, "duration_ms": 0, "gemini_model": null, "report": "outputs/reports/sourcing_recommendations.json"}
