source_key,candidate_key,family,roles,score,embedding_model,taxonomy_version,graph_schema_version,schema_version,feat_family_match,feat_role_match,feat_lexical_sim,feat_embed_sim,feat_supplier_overlap,feat_co_company_overlap,feat_missing_signals
acacia-gum,organic-acacia,thickener_stabilizer,"[""binder""]",0.893434,text-embedding-3-small,v1,v1,v1,True,True,0.3333333333333333,0.8860026782305493,1.0,0.0,[]
acacia-gum,gum-acacia,thickener_stabilizer,"[""emulsification""]",0.82764,text-embedding-3-small,v1,v1,v1,True,False,1.0,0.9361136692694481,1.0,0.0,[]
acacia-gum,organic-gum-acacia,thickener_stabilizer,"[""emulsification""]",0.78354,text-embedding-3-small,v1,v1,v1,True,False,0.6666666666666666,0.9053528073807309,1.0,0.0,[]
acacia-gum,xanthan-gum,thickener_stabilizer,"[""structural""]",0.692288,text-embedding-3-small,v1,v1,v1,True,False,0.3333333333333333,0.7398703133152092,1.0,0.0,[]
acacia-gum,hydroxypropylmethylcellulose,thickener_stabilizer,"[""binder""]",0.690069,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6859124464527678,0.0,0.0,[]
acacia-gum,gum-arabic,thickener_stabilizer,"[""emulsification""]",0.669186,text-embedding-3-small,v1,v1,v1,True,False,0.3333333333333333,0.8167207923012373,0.5,0.0,[]
acacia-gum,cellulose-gel,thickener_stabilizer,"[""bulking""]",0.661134,text-embedding-3-small,v1,v1,v1,True,False,0.0,0.7460979498646986,1.0,1.0,[]
acacia-gum,carrageenan,thickener_stabilizer,"[""structural""]",0.629291,text-embedding-3-small,v1,v1,v1,True,False,0.0,0.6551182421816433,1.0,0.0,[]
acacia-gum,cellulose,thickener_stabilizer,"[""structural""]",0.552121,text-embedding-3-small,v1,v1,v1,True,False,0.0,0.7203446983176738,0.0,0.0,[]
acesulfame-potassium,stevia-leaf-extract-rebaudioside-a,sweetener,"[""sweetening""]",0.798456,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7098741608159592,1.0,0.0,[]
acesulfame-potassium,stevia-leaf-extract,sweetener,"[""sweetening""]",0.797271,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7064874400787757,1.0,0.1,[]
acesulfame-potassium,rebaudioside-a,sweetener,"[""sweetening""]",0.792421,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6926328407145447,1.0,0.0,[]
acesulfame-potassium,sucralose,sweetener,"[""sweetening""]",0.747617,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7550963681403249,0.3333333333333333,0.8888888888888888,[]
acesulfame-potassium,sucrose,sweetener,"[""sweetening""]",0.739177,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7309820756044079,0.3333333333333333,0.0,[]
acesulfame-potassium,dextrose,sweetener,"[""sweetening""]",0.733704,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.715343556980185,0.3333333333333333,0.1111111111111111,[]
acesulfame-potassium,sorbitol,sweetener,"[""sweetening""]",0.729002,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7019116480304609,0.3333333333333333,0.0,[]
acesulfame-potassium,sugar,sweetener,"[""sweetening""]",0.726549,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.694902691027612,0.3333333333333333,0.0,[]
acesulfame-potassium,pure-cane-sugar,sweetener,"[""sweetening""]",0.721803,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6813427686347051,0.3333333333333333,0.0,[]
acesulfame-potassium,organic-erythritol,sweetener,"[""sweetening""]",0.721426,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6802648651799482,0.3333333333333333,0.0,[]
alfalfa-leaf,kelp-extract,herbal_botanical,"[""active_ingredient""]",0.790156,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6861592549471034,1.0,1.0,[]
alfalfa-leaf,rhodiola-rosea-extract-root,herbal_botanical,"[""active_ingredient""]",0.783286,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6665320597495333,1.0,0.0,[]
alfalfa-leaf,zeaxanthin,herbal_botanical,"[""active_ingredient""]",0.779534,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6558113641504872,1.0,0.0,[]
alfalfa-leaf,citrus-bioflavonoids,herbal_botanical,"[""active_ingredient""]",0.769498,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6271363741389389,1.0,0.0,[]
alfalfa-leaf,resveratrol,herbal_botanical,"[""active_ingredient""]",0.767444,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6212688381737397,1.0,0.0,[]
alfalfa-leaf,rutin,herbal_botanical,"[""active_ingredient""]",0.761727,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6049347426087384,1.0,0.0,[]
alfalfa-leaf,energy-support-botanicals-nutrients,herbal_botanical,"[""active_ingredient""]",0.685739,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6735389081459174,0.0,0.0,[]
alfalfa-leaf,hesperidin-complex,herbal_botanical,"[""active_ingredient""]",0.674706,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.6420158668797684,0.0,0.0,[]
alfalfa-leaf,organic-rosemary-extract,herbal_botanical,"[""flavoring""]",0.6323,text-embedding-3-small,v1,v1,v1,True,False,0.0,0.663715058079051,1.0,0.0,[]
alfalfa-leaf,organic-ginger,herbal_botanical,"[""flavoring""]",0.622439,text-embedding-3-small,v1,v1,v1,True,False,0.0,0.635541322106711,1.0,0.0,[]
aquamin-mg-soluble,magnesium-carbonate,vitamin_mineral,"[""active_ingredient""]",0.71084,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7452572126046074,0.0,0.0,[]
aquamin-mg-soluble,trace-mineral-concentrate,vitamin_mineral,"[""active_ingredient""]",0.710368,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7439075521508636,0.0,0.0,[]
aquamin-mg-soluble,magnesium-citrate,vitamin_mineral,"[""active_ingredient""]",0.709417,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7411919593719509,0.0,0.125,[]
aquamin-mg-soluble,manganese-sulfate,vitamin_mineral,"[""active_ingredient""]",0.70802,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7372011777021319,0.0,0.0,[]
aquamin-mg-soluble,zinc-chelate,vitamin_mineral,"[""active_ingredient""]",0.707629,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.736083834147802,0.0,0.0,[]
aquamin-mg-soluble,zinc-sulfate,vitamin_mineral,"[""active_ingredient""]",0.707431,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7355164084082324,0.0,0.0,[]
aquamin-mg-soluble,calcium-citrate,vitamin_mineral,"[""active_ingredient""]",0.704933,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7283787800671783,0.0,0.25,[]
aquamin-mg-soluble,zinc-citrate,vitamin_mineral,"[""active_ingredient""]",0.703604,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7245830248091899,0.0,0.0,[]
aquamin-mg-soluble,boron-amino-acid-chelate,vitamin_mineral,"[""active_ingredient""]",0.7022,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7205710970642631,0.0,0.0,[]
aquamin-mg-soluble,magnesium-glycinate,vitamin_mineral,"[""active_ingredient""]",0.702037,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7201071038798519,0.0,0.0,[]
aqueous-coating,organic-coating,packaging_aid,"[""coating""]",0.884382,text-embedding-3-small,v1,v1,v1,True,True,0.3333333333333333,0.8601384900234517,1.0,0.0,[]
aqueous-coating,pharmaceutical-glaze,packaging_aid,"[""coating""]",0.8034,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.7239997020396693,1.0,0.0,[]
aqueous-coating,vegan-capsule-hypromellose,packaging_aid,"[""coating""]",0.706955,text-embedding-3-small,v1,v1,v1,True,True,0.0,0.638918271138004,0.3333333333333333,0.0,[]
